{'diabetes_readmission_causal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.01375947357098106, 'invariance': 0.25697157586807007, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.2882694048348382, 'concept_shift': 0.20493252076789212, 'residual': 0.01904462461654597, 'overall': -0.09041470069190977}
run_0Test Datashifts with Representations:{'informativeness': 0.015054588603336232, 'invariance': 0.0017650721130085315, 'label_shift': -0.006770410690669257, '(latent)_covariate_shift': 0.0010384260463486353, 'concept_shift': 0.05919420689453771, 'residual': 0.02190662457964358, 'overall': -0.04019766780224078}
run_1Train Datashifts with Representations:{'informativeness': 0.035491102037690216, 'invariance': 0.32591953091199216, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.3550506031229789, 'concept_shift': 0.2772927896165331, 'residual': 0.022224518251825545, 'overall': -0.11240455909901544}
run_1Test Datashifts with Representations:{'informativeness': 0.01601138908318828, 'invariance': 0.0014809652572510034, 'label_shift': -0.004868900844769146, '(latent)_covariate_shift': 0.0010853686169059295, 'concept_shift': 0.052965915565410526, 'residual': 0.026726177933536408, 'overall': -0.0398299953756105}
run_2Train Datashifts with Representations:{'informativeness': 0.03265328316917298, 'invariance': 0.34614762095793283, 'label_shift': -0.01792304390607593, '(latent)_covariate_shift': 0.36529891301655454, 'concept_shift': 0.2971695935932198, 'residual': 0.031681721022627146, 'overall': -0.14699911057379117}
run_2Test Datashifts with Representations:{'informativeness': 0.010012582551369342, 'invariance': 0.0006100753565161459, 'label_shift': 0.0057945710351309035, '(latent)_covariate_shift': 0.0011801685080679001, 'concept_shift': 0.056018780003380376, 'residual': 0.005964249046477158, 'overall': -0.020778724403456676}
run_3Train Datashifts with Representations:{'informativeness': 0.035491102037690216, 'invariance': 0.32591953091199216, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.3550506031229789, 'concept_shift': 0.2772927896165331, 'residual': 0.022224518251825545, 'overall': -0.11240455909901544}
run_3Test Datashifts with Representations:{'informativeness': 0.01601138908318828, 'invariance': 0.0014809652572510034, 'label_shift': -0.004868900844769146, '(latent)_covariate_shift': 0.0010853686169059295, 'concept_shift': 0.052965915565410526, 'residual': 0.026726177933536408, 'overall': -0.0398299953756105}
run_4Train Datashifts with Representations:{'informativeness': 0.03265328316917298, 'invariance': 0.34614762095793283, 'label_shift': -0.01792304390607593, '(latent)_covariate_shift': 0.36529891301655454, 'concept_shift': 0.2971695935932198, 'residual': 0.031681721022627146, 'overall': -0.14699911057379117}
run_4Test Datashifts with Representations:{'informativeness': 0.010012582551369342, 'invariance': 0.0006100753565161459, 'label_shift': 0.0057945710351309035, '(latent)_covariate_shift': 0.0011801685080679001, 'concept_shift': 0.056018780003380376, 'residual': 0.005964249046477158, 'overall': -0.020778724403456676}
{'diabetes_readmission_arguablycausal_irm'}
