{'validation': 0.5762949136724218, 'id_test': 0.5838581758805692, 'ood_test': 0.5061999686077538, 'ood_validation': 0.4929378531073446, 'train': 0.5752158189454036}
{'validation': 0.5909939337377508, 'id_test': 0.5978539771401913, 'ood_test': 0.5349631141108147, 'ood_validation': 0.5291313559322034, 'train': 0.5921896873541764}
{'validation': 0.6105926271581894, 'id_test': 0.609050618147889, 'ood_test': 0.5528763145503061, 'ood_validation': 0.5483757062146892, 'train': 0.6089885674288381}
{'validation': 0.8183448433744134, 'id_test': 0.8156636312763901, 'ood_test': 0.7819059699660379, 'ood_validation': 0.7902780335113239, 'train': 0.8159655208594985}
{'validation': 0.8351584061454717, 'id_test': 0.831217886757898, 'ood_test': 0.8038585866852163, 'ood_validation': 0.8081384643712024, 'train': 0.832322763418535}
{'validation': 0.8453584646495479, 'id_test': 0.8432365060792593, 'ood_test': 0.8156430295838618, 'ood_validation': 0.8147670778862088, 'train': 0.8442556492818966}
{'validation': 0.8727420826765417, 'id_test': 0.8733539482615582, 'ood_test': 0.8256898387489898, 'ood_validation': 0.8263613623244179, 'train': 0.8726770320313149}
{'validation': 0.8745233339386236, 'id_test': 0.8727734948908001, 'ood_test': 0.8258053731343283, 'ood_validation': 0.828748280605227, 'train': 0.8752812802753529}
{'validation': 0.8737639698235303, 'id_test': 0.87121349687175, 'ood_test': 0.830380895522388, 'ood_validation': 0.828877235213205, 'train': 0.8744104850350124}
{'validation': 0.7050153466443059, 'id_test': 0.7066309740785743, 'ood_test': 0.6690071267668717, 'ood_validation': 0.6667457024303497, 'train': 0.7044947366672388}
{'validation': 0.820206942378888, 'id_test': 0.8197777440259214, 'ood_test': 0.79498359921487, 'ood_validation': 0.7970361588618851, 'train': 0.8215482195957198}
{'validation': 0.8235167547384742, 'id_test': 0.8231571486431754, 'ood_test': 0.814440594907194, 'ood_validation': 0.811262596324837, 'train': 0.8248081871779882}
{'validation': 0.9665910612032423, 'id_test': 0.966176060483996, 'ood_test': 0.9484875711290806, 'ood_validation': 0.9493949394939494, 'train': 0.9659411858574622}
{'validation': 0.9722614709600654, 'id_test': 0.9717039010937936, 'ood_test': 0.960375524873022, 'ood_validation': 0.961001100110011, 'train': 0.971378418701788}
{'validation': 0.9728811878733794, 'id_test': 0.9723545998202832, 'ood_test': 0.9610539633643215, 'ood_validation': 0.9611661166116612, 'train': 0.9723932035751414}
{'validation': 0.9236886924814117, 'id_test': 0.9249191569817606, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.9237861578241016}
{'validation': 0.9211414809090431, 'id_test': 0.9221281033590181, 'ood_test': 0.45120671563483733, 'ood_validation': 0.5518867924528302, 'train': 0.9212483224120128}
{'validation': 0.894210064299273, 'id_test': 0.8951704268361307, 'ood_test': 0.4491080797481637, 'ood_validation': 0.5518867924528302, 'train': 0.8940158291153308}
{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.36371728267208886, 'ood_validation': 0.3601500946344469, 'train': 0.7760952951251907}
{'validation': 0.800040336993616, 'id_test': 0.7990303165848612, 'ood_test': 0.5828345827062016, 'ood_validation': 0.5837294775298209, 'train': 0.7990876253572856}
{'validation': 0.8084771586781447, 'id_test': 0.8077886186005088, 'ood_test': 0.6302512480483007, 'ood_validation': 0.630045336502487, 'train': 0.8082181112556908}
{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
